gamma;sigma;type;method;sa_RMSE;weekly_RMSE;yearly_RMSE;trend_RMSE;remainder_RMSE;time;nb_years
0.6;;Deterministic DGP;PROPHET;0.0855477958199496;0.0310348433222972;0.079176867613256;0.0428300034216926;0.0938813410669614;1.645011510849;5
0.6;;Deterministic DGP;MSTL;0.332855129873797;0.195437762789326;0.260712369997565;0.0415319685371328;0.335169359043716;0.0277500200271606;5
0.2;0.025;Stochastic DGP;X11;0.220793692424906;0.0689702378149789;0.211022461977766;0.0784913500445777;0.202499414253957;0.124756989479065;5
0.2;0.025;Stochastic DGP;STL;0.344540921138471;0.182037474879443;0.290498889586815;0.160899708434519;0.284960718473127;0.0617646789550781;5
0.2;0.025;Stochastic DGP;AMB;0.288869431304127;0.0612319740406188;0.280545278398306;0.278817096097051;0.10210623280037;3.33591661930084;5
0.2;0.025;Stochastic DGP;MAMB;0.224445594772258;0.089503970191994;0.228277958912852;0.0924790290809033;0.202263541724053;4.14231061458588;5
0.2;0.025;Stochastic DGP;TBATS;0.337078054221386;0.139938462270905;0.286749016956321;0.326773498466831;0.146357895826344;20.3380211687088;5
0.2;0.025;Stochastic DGP;PROPHET;0.395828204710194;0.188536057867453;0.331133684788851;0.22860164335229;0.295620086119272;2.53960494995117;5
0.2;0.025;Stochastic DGP;MSTL;0.297636958051651;0.0701794396404567;0.28851071901848;0.0738883256887184;0.298919707814093;0.0143233776092529;5
0.4;0.05;Stochastic DGP;X11;0.30581065056965;0.133451688957366;0.27758704285706;0.0849030506204294;0.294229618742336;0.104460573196411;5
0.4;0.05;Stochastic DGP;STL;0.47630879971558;0.362450887458695;0.301918737199369;0.165356296853744;0.434868159401608;0.0616659832000732;5
0.4;0.05;Stochastic DGP;AMB;0.314679222040457;0.0989975592253935;0.297214644108723;0.285508044852438;0.166774362024377;2.53092904090881;5
0.4;0.05;Stochastic DGP;MAMB;0.404261880829058;0.134478744109191;0.394159123542076;0.0957793596991167;0.391445243452716;4.38120975494385;5
0.4;0.05;Stochastic DGP;TBATS;0.384532079484464;0.230746858210199;0.292453559364486;0.342661664144343;0.249999466432838;20.8570774030685;5
0.4;0.05;Stochastic DGP;PROPHET;0.457394227221655;0.323136207555181;0.309450209750963;0.171101680773587;0.40899584182685;2.19751349925995;5
0.4;0.05;Stochastic DGP;MSTL;0.357984280888001;0.137148932572559;0.327936759782946;0.0808793360038562;0.359792968696574;0.0250257587432861;5
0.6;0.075;Stochastic DGP;X11;0.41576133274469;0.19674453504036;0.369639379759032;0.0924802425935159;0.40663715039351;0.101368522644043;5
0.6;0.075;Stochastic DGP;STL;0.638114722427371;0.545322629122436;0.318584759577361;0.171969814383106;0.606519510930178;0.0634993076324463;5
0.6;0.075;Stochastic DGP;AMB;0.352590904364413;0.134407059695949;0.324144664157148;0.300847304874244;0.226068445111992;2.4271092748642;5
0.6;0.075;Stochastic DGP;MAMB;0.576342776026866;0.170670462539089;0.55448310787816;0.0926167398936061;0.563438033503467;4.27658734321594;5
0.6;0.075;Stochastic DGP;TBATS;0.522145043256803;0.321320339263589;0.363228529355326;0.41648053957341;0.363637227287058;21.0667378473282;5
0.6;0.075;Stochastic DGP;PROPHET;0.537317870430404;0.417313811834721;0.31929352830462;0.143883181614789;0.50640376621105;1.92535630226135;5
0.6;0.075;Stochastic DGP;MSTL;0.441115794487053;0.204493100979971;0.38584778479451;0.0822672013373188;0.442407117993117;0.0166967535018921;5
0.2;;Deterministic DGP;X11;0.128354182316621;0.0617733223968977;0.111941106430418;0.0304805988616529;0.128786036107745;0.117992601394653;6
0.2;;Deterministic DGP;STL;0.212118637153401;0.181171093744318;0.107620299637783;0.0692788215038514;0.197634272321587;0.0732805442810059;6
0.2;;Deterministic DGP;AMB;0.0751826383406168;0.0118564131979738;0.0740026784235551;0.0609590355682285;0.0736996288370862;2.66399168014526;6
0.2;;Deterministic DGP;MAMB;0.265333592874986;0.0351112409806954;0.239168017207176;0.163830889591928;0.186929070257936;2.83653734207153;6
0.2;;Deterministic DGP;TBATS;0.0572817728003635;0.0112435428641593;0.0560362943135305;0.0642577961707279;0.0568835682591899;18.2665530538559;6
0.2;;Deterministic DGP;PROPHET;0.0552487770746348;0.0101882974203638;0.0542146360954605;0.0293876045446401;0.051652148055852;2.04798490047455;6
0.2;;Deterministic DGP;MSTL;0.128473133171163;0.0656755369577232;0.108226102226639;0.0261603367727227;0.130246233868735;0.0261865043640137;6
0.4;;Deterministic DGP;X11;0.24570065585001;0.122665228495048;0.211248040591993;0.041562246653774;0.247285388095044;0.1407475233078;6
0.4;;Deterministic DGP;STL;0.38366919759203;0.361181499127846;0.120798765650976;0.0751246429750672;0.377409530900209;0.0743380069732666;6
0.4;;Deterministic DGP;AMB;0.117165901840197;0.0228188704786795;0.114372653138768;0.0844117615385031;0.129744485659047;2.70147275924683;6
0.4;;Deterministic DGP;MAMB;0.383036666780253;0.0545105338251046;0.341532364016372;0.101694109589292;0.352683738312459;3.73036766052246;6
0.4;;Deterministic DGP;TBATS;0.0710402938308258;0.0211821073813035;0.0674615069136549;0.0793991019192812;0.0909500093114274;17.895304441452;6
0.4;;Deterministic DGP;PROPHET;0.0675222547241511;0.0196608963969839;0.0643347898060295;0.0344444701732398;0.0712389198561734;1.74620854377747;6
0.4;;Deterministic DGP;MSTL;0.220287112053816;0.131010405665366;0.171899252640667;0.0334028035029172;0.222266671602338;0.0202036046981812;6
0.6;;Deterministic DGP;X11;0.363047893398272;0.184022055042255;0.310280819467342;0.0514767295939637;0.365877823737685;0.115243096351624;6
0.6;;Deterministic DGP;STL;0.564054909795334;0.542065954794913;0.14116955561201;0.0897275112314452;0.55987227164778;0.0754542589187622;6
0.6;;Deterministic DGP;AMB;0.152832873681414;0.0345900749126778;0.147985224935428;0.0998959773347684;0.173664092411542;2.70145086765289;6
0.6;;Deterministic DGP;MAMB;0.488877834228398;0.0729761026926299;0.409712720677315;0.0715821637874277;0.43935072394991;2.95093337535858;6
0.6;;Deterministic DGP;TBATS;0.0846102320741877;0.0329792823087175;0.0773997505542985;0.099373206041288;0.120377100397959;17.7450632810593;6
0.6;;Deterministic DGP;PROPHET;0.0806832902804912;0.0301236826381842;0.0744629463082999;0.0407440233929968;0.0890940051049305;1.68310357093811;6
0.6;;Deterministic DGP;MSTL;0.316367876210967;0.197057130289447;0.239456844195201;0.0390440602350205;0.318353049935499;0.0218019342422485;6
0.2;0.025;Stochastic DGP;X11;0.230539490172141;0.0684393184942981;0.221220925098975;0.0817797213207064;0.212206513552977;0.11849992275238;6
0.2;0.025;Stochastic DGP;STL;0.359360257149305;0.182070191859205;0.308267805765631;0.161780048219881;0.299975383089907;0.0744048500061035;6
0.2;0.025;Stochastic DGP;AMB;0.324309469296778;0.0648297987583718;0.316289321330408;0.314040968153353;0.104332660859342;3.11403220653534;6
0.2;0.025;Stochastic DGP;MAMB;0.220546223342355;0.0798572180953912;0.222281453788808;0.0900233019421156;0.199138397792201;3.55530413150787;6
0.2;0.025;Stochastic DGP;TBATS;0.346728540913545;0.11636273704767;0.320863515689407;0.348657478300084;0.149602949599956;22.4850269317627;6
0.2;0.025;Stochastic DGP;PROPHET;0.417871953055609;0.199487068774275;0.35507947514662;0.21398473141772;0.340115834424427;2.6299006319046;6
0.2;0.025;Stochastic DGP;MSTL;0.328728695430842;0.0700072272985695;0.320698947135951;0.0706062452123808;0.325504200863948;0.0202254009246826;6
0.4;0.05;Stochastic DGP;X11;0.313008067581306;0.133851473777983;0.28439377819718;0.0864997673150652;0.299417349518816;0.115831341743469;6
0.4;0.05;Stochastic DGP;STL;0.484143125963529;0.363049660192816;0.311375082681278;0.168758227877649;0.439049170778162;0.0743564081192017;6
0.4;0.05;Stochastic DGP;AMB;0.34644256002447;0.0967774909861264;0.331211745283406;0.321295951302237;0.162692988854629;2.6181569814682;6
0.4;0.05;Stochastic DGP;MAMB;0.405610588320777;0.120643220197883;0.390869904805588;0.0980705481612024;0.390730548146113;4.62961278915405;6
0.4;0.05;Stochastic DGP;TBATS;0.419073955446611;0.214958720187823;0.337925046533256;0.386997351237687;0.245610761100809;21.0623069524765;6
0.4;0.05;Stochastic DGP;PROPHET;0.500912922681681;0.342307280174787;0.348908046938175;0.181486465319784;0.450313761425343;2.40714072704315;6
0.4;0.05;Stochastic DGP;MSTL;0.376037520610537;0.137631940050234;0.347072907528264;0.0690438994305515;0.372924609673902;0.0136929845809937;6
0.6;0.075;Stochastic DGP;X11;0.408706965861351;0.195385585519642;0.361392998971786;0.0868453651364854;0.401375098726389;0.114571409225464;6
0.6;0.075;Stochastic DGP;STL;0.628897156648165;0.542748424882336;0.307172078231249;0.163460182611139;0.600118569666351;0.0735655927658081;6
0.6;0.075;Stochastic DGP;AMB;0.354435416483249;0.135077896565647;0.326263375118403;0.302697700842071;0.223734399319041;2.51385410785675;6
0.6;0.075;Stochastic DGP;MAMB;0.569221727968683;0.16928427223726;0.54979393227203;0.0923897577577843;0.558400341559458;3.73287200450897;6
0.6;0.075;Stochastic DGP;TBATS;0.483036688248247;0.3017164343663;0.345155325545502;0.379495053738611;0.354775550146066;20.7098948335648;6
0.6;0.075;Stochastic DGP;PROPHET;0.553584479111687;0.439640914009182;0.320657827118839;0.129080810260181;0.530008183990153;2.15258265018463;6
0.6;0.075;Stochastic DGP;MSTL;0.433198148960641;0.20300380445885;0.378362501295156;0.0766193523600207;0.433409278639253;0.0175895214080811;6
0.2;;Deterministic DGP;X11;0.12657187858197;0.0619036643275986;0.109587339836803;0.0260414049130044;0.127353809272287;0.133545198440552;7
